Time,Source,Destination,Protocol,Length,Info
10.452932,10.218.72.130,54.192.35.107,TCP,54,13180  >  443 [ACK] Seq=206 Ack=4381 Win=17408 Len=0
10.455544,10.218.72.130,54.192.35.107,TCP,54,13180  >  443 [ACK] Seq=206 Ack=5473 Win=16384 Len=0
10.464796,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.464807,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.464817,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.464979,10.218.72.130,54.192.35.107,TCP,54,13177  >  443 [ACK] Seq=206 Ack=5473 Win=17408 Len=0
10.465161,10.218.72.130,54.192.35.107,TCP,54,13178  >  443 [ACK] Seq=206 Ack=2921 Win=17408 Len=0
10.465717,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.468394,10.218.72.130,54.192.35.107,TCP,54,13178  >  443 [ACK] Seq=206 Ack=5473 Win=17408 Len=0
10.468655,54.192.35.107,10.218.72.130,TCP,54,443  >  13182 [ACK] Seq=1 Ack=206 Win=30464 Len=0
10.470801,54.192.35.107,10.218.72.130,TCP,54,443  >  13181 [ACK] Seq=1 Ack=206 Win=30464 Len=0
10.474855,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.474950999999999,10.218.72.130,54.192.35.107,TCP,54,13179  >  443 [ACK] Seq=206 Ack=2921 Win=17408 Len=0
10.477425,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.480353,10.218.72.130,54.192.35.107,TCP,54,13179  >  443 [ACK] Seq=206 Ack=5473 Win=17408 Len=0
10.483564999999999,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.483569000000001,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.483627,10.218.72.130,54.192.35.107,TCP,54,13182  >  443 [ACK] Seq=206 Ack=4381 Win=17408 Len=0
10.485901,10.218.72.130,54.192.35.107,TCP,54,13182  >  443 [ACK] Seq=206 Ack=5473 Win=16384 Len=0
10.517342,52.8.44.206,10.218.72.130,TCP,66,"443  >  13183 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM=1 WS=256"
10.517458,10.218.72.130,52.8.44.206,TCP,54,13183  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
10.605813000000001,10.218.72.130,54.192.35.107,TCP,54,13180  >  443 [ACK] Seq=332 Ack=5715 Win=16128 Len=0
10.615472,10.218.72.130,54.192.35.107,TCP,54,13177  >  443 [ACK] Seq=332 Ack=5715 Win=17152 Len=0
10.621825,10.218.72.130,54.192.35.107,TCP,54,13178  >  443 [ACK] Seq=332 Ack=5715 Win=17152 Len=0
10.630306,10.218.72.130,54.192.35.107,TCP,54,13179  >  443 [ACK] Seq=332 Ack=5715 Win=17152 Len=0
10.637917,10.218.72.130,54.192.35.107,TCP,54,13182  >  443 [ACK] Seq=332 Ack=5715 Win=16128 Len=0
10.656228,52.8.44.206,10.218.72.130,TCP,54,443  >  13176 [ACK] Seq=1 Ack=243 Win=28160 Len=0
10.658771,52.8.44.206,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.658773,52.8.44.206,10.218.72.130,TCP,1230,[TCP segment of a reassembled PDU]
10.658875,10.218.72.130,52.8.44.206,TCP,54,13176  >  443 [ACK] Seq=243 Ack=5862 Win=17408 Len=0
10.663842,10.218.72.130,54.192.35.107,TCP,66,[TCP Dup ACK 149#1] 13181  >  443 [ACK] Seq=206 Ack=1 Win=17408 Len=0 SLE=4381 SRE=5473
